c1,P_max,eff_max
0.0,0.05901292125342314,8.46075342051214
0.6428571428571429,0.06312498190063207,9.087585852936774
1.2857142857142858,0.06780549194565104,9.812554462171569
1.9285714285714288,0.07181541220721335,10.5003128090339
2.5714285714285716,0.07487254637890493,11.105491780697898
3.2142857142857144,0.07666960940364535,11.573860435627742
3.8571428571428577,0.07713556663951214,11.888286205488559
4.5,0.07641648369820536,12.059107419127184
5.142857142857143,0.07483388743501698,12.098403758557218
5.7857142857142865,0.07260585965675553,12.030991303890614
6.428571428571429,0.06995963540915254,11.899859249319839
7.071428571428572,0.06705878869042266,11.741483908537743
7.714285714285715,0.06403879539656093,11.559064453464064
8.357142857142858,0.06105158462977112,11.380405469982193
9.0,0.05860769707556751,11.48099345482528
