c1,P_max,eff_max
0.0,0.07610791271522376,8.465009854216055
0.5,0.08154583086527376,9.2354887278211
1.0,0.08738192745385828,9.86602912214758
1.5,0.09257435069768825,10.499627070012894
2.0,0.09667682813041323,11.104310699488554
2.5,0.09914513539479143,11.608981775330216
3.0,0.0996391890541446,11.95167958388067
3.5,0.09851436814040283,12.120298738190398
4.0,0.09628339837774565,12.137819391838732
4.5,0.09336244545099169,12.05054624176482
5.0,0.09000905951437042,11.914732405681804
5.5,0.08637077235089005,11.766983600501156
6.0,0.08258092030990266,11.631409788359766
6.5,0.07882151788925686,11.459026705333851
7.0,0.0752630852915072,11.466943143678952
