T,sigma,kappa,Seebeck
298.9051095,1.13E+05,1.053548387,1.32E-04
350.3649635,1.05E+05,0.921935484,1.49E-04
399.6350365,9.56E+04,0.94516129,1.64E-04
450,9.14E+04,0.962580645,1.77E-04
499.270073,8.69E+04,0.887096774,1.88E-04
548.540146,7.88E+04,0.857096774,1.98E-04
600,7.30E+04,0.851290323,2.07E-04
649.270073,6.79E+04,0.820322581,2.14E-04
699.6350365,6.23E+04,0.813548387,2.22E-04
750,5.74E+04,0.827096774,2.29E-04
800.3649635,5.45E+04,0.842580645,2.29E-04
