T,sigma,kappa,Seebeck
300,9.80E+04,1.17,1.74E-04
323,8.77E+04,1.13,1.80E-04
348,8.26E+04,1.1,1.86E-04
373,7.69E+04,1.07,1.92E-04
398,7.25E+04,1.05,1.97E-04
423,6.76E+04,1.04,2.06E-04
448,6.33E+04,1.03,2.10E-04
473,5.88E+04,1.03,2.13E-04
498,5.46E+04,1.05,2.19E-04
523,5.08E+04,1.07,2.18E-04
548,4.69E+04,1.09,2.19E-04
573,4.39E+04,1.14,2.20E-04
