T,sigma,kappa,Seebeck
299.0526,1.07E+05,1.21,2.15E-04
326.30392,8.93E+04,1.16,2.22E-04
373.3503,6.81E+04,1.12,2.32E-04
422.144,5.46E+04,1.19,2.25E-04
470.5201,4.58E+04,1.37,2.09E-04
519.2582,4.13E+04,1.62,1.78E-04
567.8609,3.96E+04,1.86,1.41E-04
