T,sigma,kappa,Seebeck
298.9556136,3.04E+05,2.072755709,1.76E-04
322.9765013,2.67E+05,1.971879134,1.83E-04
372.0626632,2.01E+05,1.723201414,2.04E-04
421.1488251,1.38E+05,1.447712127,2.27E-04
471.2793734,1.02E+05,1.232509922,2.48E-04
522.4543081,7.13E+04,1.064232286,2.70E-04
571.54047,4.91E+04,0.889238777,2.90E-04
622.7154047,3.30E+04,0.741039526,3.23E-04
672.845953,2.45E+04,0.673205742,3.52E-04
720.8877285,2.11E+04,0.618769086,3.38E-04
773.1070496,1.68E+04,0.604541127,3.24E-04
