T,sigma,kappa,Seebeck
300,4.31E+04,1.068529484,1.95E-04
323,4.51E+04,1.035621815,1.99E-04
373,4.68E+04,0.971556758,2.18E-04
423,4.43E+04,0.905732942,2.43E-04
473,4.01E+04,0.854007554,2.45E-04
523,3.66E+04,0.81310056,2.50E-04
573,3.38E+04,0.784796781,2.60E-04
623,2.98E+04,0.746906821,2.71E-04
673,2.59E+04,0.706014698,2.79E-04
723,2.26E+04,0.666459477,2.87E-04
