T,sigma,kappa,Seebeck
300,5.45E+04,0.82,2.02E-04
323,4.88E+04,0.78,2.11E-04
373,4.14E+04,0.76,2.26E-04
423,4.55E+04,0.78,2.15E-04
473,5.75E+04,0.87,1.97E-04
523,7.26E+04,0.98,1.77E-04
573,8.52E+04,1.12,1.60E-04
