T,sigma,kappa,Seebeck
299.0123457,1.37E+05,1.74749339,2.06E-04
321.7283951,1.22E+05,1.678236355,2.10E-04
371.1111111,9.54E+04,1.539792327,2.18E-04
422.4691358,7.69E+04,1.401320282,2.29E-04
471.8518519,6.42E+04,1.268213416,2.43E-04
522.2222222,5.18E+04,1.183267086,2.59E-04
572.5925926,4.02E+04,1.125076608,2.79E-04
621.9753086,2.89E+04,1.056197797,2.99E-04
671.3580247,1.93E+04,1.003330473,3.19E-04
721.7283951,1.28E+04,0.955842337,3.41E-04
772.0987654,1.01E+04,0.9083542,3.55E-04
