Current (A),Voltage (V),Heat Flux (W),Power (W),Efficiency (%)
0.0,0.056382063776254654,0.4179792106151581,0.0,0.0
0.27570121979607193,0.05338891223073006,0.4307861626148224,0.0147193882255977,3.303974147534287
0.5514024395921439,0.05059566721320152,0.44627878069877625,0.027898574334151566,5.883573738398839
0.8271036593882157,0.04781474173069,0.4635419249534607,0.03954774785815613,7.860973896986528
1.1028048791842877,0.044990040361881256,0.4821281433105469,0.04961523602578068,9.330673018948687
1.3785060989803597,0.042108844965696335,0.5017761588096619,0.05804729960623081,10.368858027222485
1.6542073187764315,0.03917747363448143,0.5223315954208374,0.06480766361732986,11.037869231142148
1.9299085385725034,0.0362117663025856,0.5437135100364685,0.069885396984152,11.389426575657744
2.2056097583685754,0.03323126211762428,0.565891683101654,0.07329519600953609,11.466943143678952
2.481310978164647,0.030254995450377464,0.5888656973838806,0.07507205235534306,11.307092025544454
2.7570121979607194,0.027298785746097565,0.6126486659049988,0.0752630852915072,10.940805293789474
3.032713417756791,0.024373792111873627,0.6372551918029785,0.07391872637929378,10.393902882184802
3.308414637552863,0.02148626558482647,0.6626933217048645,0.07108547556718822,9.687589206919107
3.584115857348935,0.01863795518875122,0.6889601945877075,0.06680059074056212,8.838853779843426
3.859817077145007,0.015826979652047157,0.7160396575927734,0.061089246340598154,7.860889748328772
4.135518296941079,0.013048868626356125,0.7439036965370178,0.05396383495867616,6.763508079782965
4.411219516737151,0.01029762253165245,0.7725129723548889,0.04542507348761752,5.5536080903081135
4.686920736533223,0.007566733285784721,0.8018189072608948,0.03546467914496058,4.235683073305802
4.962621956329294,0.00485003087669611,0.8317668437957764,0.02406886971756713,2.8123235964015265
5.238323176125367,0.002142302691936493,0.8622978925704956,0.011222073841446693,1.2846957451404708
