Current (A),Voltage (V),Heat Flux (W),Power (W),Efficiency (%)
0.0,0.057812053710222244,0.6512671709060669,0.0,0.0
0.28658182741100796,0.054231222718954086,0.6737133264541626,0.015541682909531234,2.2548523693544134
0.5731636548220159,0.05099422112107277,0.6931215524673462,0.029228034152556107,4.046245016810094
0.8597454822330239,0.047902919352054596,0.7115740180015564,0.041184318498701834,5.471120876611867
1.1463273096440318,0.044869232922792435,0.72996586561203,0.05143482706217607,6.582388209325672
1.4329091370550397,0.04184728488326073,0.7487351298332214,0.059963356870169536,7.414797709663885
1.7194909644660479,0.03881128132343292,0.7681277990341187,0.06673564755499278,7.99360036993422
2.0060727918770556,0.03574678301811218,0.7882976531982422,0.07171064880976763,8.338367041612551
2.2926546192880637,0.03264648839831352,0.8093470335006714,0.07484712242992768,8.465009854216055
2.579236446699072,0.029507923871278763,0.8313431739807129,0.07610791271522376,8.386998906170856
2.8658182741100795,0.026331868022680283,0.8543257713317871,0.075462348570852,8.116080099921463
3.1524001015210876,0.02312127873301506,0.8783092498779297,0.07288752142525404,7.662717496969082
3.4389819289320958,0.019880514591932297,0.9032858610153198,0.068368730419526,7.036320419025206
3.7255637563431034,0.01661476120352745,0.9292272329330444,0.06189935216015739,6.24535282285225
4.012145583754111,0.013329564593732357,0.9560863375663757,0.053480153718108436,5.297338429890335
4.298727411165119,0.010030537843704224,0.9838008284568787,0.04311854797746041,4.198825045757367
4.585309238576127,0.006723072379827499,1.0122952461242676,0.030827365894839025,2.955296485728407
4.8718910659871355,0.003412224818021059,1.0414849519729614,0.01662398760605638,1.5711035966363203
5.158472893398144,0.00010263780131936073,1.0712785720825195,0.0005294543159439065,0.04939824137378427
