Hot-side Temperature Th (K),Max Power (W),Max Efficiency (%)
313.15,0.00043260447100079875,0.9815078484665848
333.15,0.0018283379720749758,1.945152538574847
353.15,0.004101693658791226,2.8969898873199815
373.15,0.0072062688305145235,3.823103257985213
393.15,0.011137354022327914,4.715803737991955
413.15,0.015917035778016436,5.5710755043551154
433.15,0.021582192212611682,6.3886171953061535
453.15,0.028175989691328576,7.171342178335597
473.15,0.03574133115811136,7.9242514095506635
493.15,0.044313591541466114,8.653271192001762
513.15,0.0539157341022026,9.364369650469696
533.15,0.06455021537019383,10.062840867668976
553.15,0.07619664898951103,10.753067004660954
573.15,0.08880814060534621,11.438015916520547
