Ap_An,H_Apn,Z
0.2,0.1,0.24685926504522976
0.2,0.12105263157894737,0.2051631517704772
0.2,0.14210526315789473,0.17599343751751523
0.2,0.1631578947368421,0.15413734136490595
0.2,0.1842105263157895,0.13693768591719532
0.2,0.20526315789473684,0.12299180403558492
0.2,0.22631578947368422,0.11148075922798191
0.2,0.24736842105263157,0.10186500790909546
0.2,0.26842105263157895,0.09375384409384428
0.2,0.2894736842105263,0.0868485019024242
0.2,0.31052631578947365,0.08091409593044784
0.2,0.3315789473684211,0.07576361401111045
0.2,0.3526315789473684,0.07124735840665623
0.2,0.37368421052631584,0.06724497343792046
0.2,0.39473684210526316,0.06365965573826689
0.2,0.4157894736842105,0.06041322739844087
0.2,0.4368421052631579,0.05744272715026222
0.2,0.45789473684210524,0.05469745083160611
0.2,0.4789473684210527,0.052136587182641844
0.2,0.5,0.04972750058865232
0.23692221574249298,0.1,0.275702577456877
0.23692221574249298,0.12105263157894737,0.2290372076758472
0.23692221574249298,0.14210526315789473,0.19620109396904786
0.23692221574249298,0.1631578947368421,0.1715706396494305
0.23692221574249298,0.1842105263157895,0.1522507787836813
0.23692221574249298,0.20526315789473684,0.1366634687891054
0.23692221574249298,0.22631578947368422,0.12385731723644439
0.23692221574249298,0.24736842105263157,0.11319648681297093
0.23692221574249298,0.26842105263157895,0.10422274883357911
0.23692221574249298,0.2894736842105263,0.09659048803356744
0.23692221574249298,0.31052631578947365,0.090032494244047
0.23692221574249298,0.3315789473684211,0.08433923869604909
0.23692221574249298,0.3526315789473684,0.07934508810050803
0.23692221574249298,0.37368421052631584,0.07491826220211391
0.23692221574249298,0.39473684210526316,0.07095344354492246
0.23692221574249298,0.4157894736842105,0.06736625465262935
0.23692221574249298,0.4368421052631579,0.06408877861190267
0.23692221574249298,0.45789473684210524,0.06106650611400459
0.23692221574249298,0.4789473684210527,0.05825547497349304
0.23692221574249298,0.5,0.05562047479712316
0.2806606815616618,0.1,0.30239072477012463
0.2806606815616618,0.12105263157894737,0.2519691270747578
0.2806606815616618,0.14210526315789473,0.2165227457131782
0.2806606815616618,0.1631578947368421,0.18982516842406533
0.2806606815616618,0.1842105263157895,0.16873274137407643
0.2806606815616618,0.20526315789473684,0.15159489666124806
0.2806606815616618,0.22631578947368422,0.13744268219321346
0.2806606815616618,0.24736842105263157,0.12562908117439284
0.2806606815616618,0.26842105263157895,0.11567895908396092
0.2806606815616618,0.2894736842105263,0.10722470999454234
0.2806606815616618,0.31052631578947365,0.09997536469509655
0.2806606815616618,0.3315789473684211,0.09369832109592414
0.2806606815616618,0.3526315789473684,0.08820710670217656
0.2806606815616618,0.37368421052631584,0.08335180229558899
0.2806606815616618,0.39473684210526316,0.07901183237425514
0.2806606815616618,0.4157894736842105,0.07509012357859308
0.2806606815616618,0.4368421052631579,0.07150849941089724
0.2806606815616618,0.45789473684210524,0.06820403679408517
0.2806606815616618,0.4789473684210527,0.0651262250376715
0.2806606815616618,0.5,0.062234592080082
0.33247375273693575,0.1,0.3348202669221022
0.33247375273693575,0.12105263157894737,0.27848286424863
0.33247375273693575,0.14210526315789473,0.23867360328448714
0.33247375273693575,0.1631578947368421,0.20870452647892748
0.33247375273693575,0.1842105263157895,0.18514593735235446
0.33247375273693575,0.20526315789473684,0.16612450549543406
0.33247375273693575,0.22631578947368422,0.15050204720444355
0.33247375273693575,0.24736842105263157,0.1375109666472714
0.33247375273693575,0.26842105263157895,0.12659360235387687
0.33247375273693575,0.2894736842105263,0.11732687724511094
0.33247375273693575,0.31052631578947365,0.10938237074090482
0.33247375273693575,0.3315789473684211,0.10250197412056307
0.33247375273693575,0.3526315789473684,0.09648123937431392
0.33247375273693575,0.37368421052631584,0.09115750720790797
0.33247375273693575,0.39473684210526316,0.08640084379829384
0.33247375273693575,0.4157894736842105,0.08210700085359916
0.33247375273693575,0.4368421052631579,0.07819229184412683
0.33247375273693575,0.45789473684210524,0.074589332716094
0.33247375273693575,0.4789473684210527,0.07124394818769895
0.33247375273693575,0.5,0.06811255924565945
0.39385209087328266,0.1,0.36256557452080673
0.39385209087328266,0.12105263157894737,0.3021532052813491
0.39385209087328266,0.14210526315789473,0.2594085518487947
0.39385209087328266,0.1631578947368421,0.22710747538400045
0.39385209087328266,0.1842105263157895,0.20159268530232366
0.39385209087328266,0.20526315789473684,0.1809058161661336
0.39385209087328266,0.22631578947368422,0.1638699660012547
